rep,id,beta,k,p,c,delta,delta_E,Kd,xi,d_E,a,tau
2,307,9e-05,4,0.04,20,0.962711,7.55989e-13,9.97368e+07,0.0314505,1.95644e-12,3.3997e-06,3.64249e-05
3,307,9e-05,4,0.04,20,0.962711,7.55989e-13,9.97368e+07,0.0314505,1.95644e-12,3.3997e-06,3.64249e-05
1,308,9e-05,4,0.04,20,0.962711,7.55989e-13,9.97368e+07,0.0314505,1.95644e-12,3.3997e-06,3.64249e-05
2,308,9e-05,4,0.04,20,0.962711,7.55989e-13,9.97368e+07,0.0314505,1.95644e-12,3.3997e-06,3.64249e-05
3,308,9e-05,4,0.04,20,0.962711,7.55989e-13,9.97368e+07,0.0314505,1.95644e-12,3.3997e-06,3.64249e-05
1,311,9e-05,4,0.04,20,0.962711,7.55989e-13,9.97368e+07,0.0314505,1.95644e-12,3.3997e-06,3.64249e-05
2,311,9e-05,4,0.04,20,0.962711,7.55989e-13,9.97368e+07,0.0314505,1.95644e-12,3.3997e-06,3.64249e-05
3,311,9e-05,4,0.04,20,0.962711,7.55989e-13,9.97368e+07,0.0314505,1.95644e-12,3.3997e-06,3.64249e-05
1,312,9e-05,4,0.04,20,0.962711,7.55989e-13,9.97368e+07,0.0314505,1.95644e-12,3.3997e-06,3.64249e-05
2,312,9e-05,4,0.04,20,0.962711,7.55989e-13,9.97368e+07,0.0314505,1.95644e-12,3.3997e-06,3.64249e-05
3,312,9e-05,4,0.04,20,0.962711,7.55989e-13,9.97368e+07,0.0314505,1.95644e-12,3.3997e-06,3.64249e-05
