"RT_IFI27" "RT_CD177" "RT_HLADRA" "array_CD177" "array_IFI27" "array_HLADRA"
"1" 0.4 1.74 1.26 11.674343296426 16.7562486204302 12.2744819436558
"2" 3.2 5.92 -1.26 7.13885672625409 12.8049715097098 12.8919180654405
"3" 8 2.21 4.54 10.0244817331578 9.3517579478094 11.2444568482705
"4" 6.9 1.4 5.01 10.3863390451826 12.2041927319329 10.033347265031
"5" 1 7.94 2.18 6.69995390679112 16.0806994001398 13.4173751325416
"6" 0 5.35 2.3 7.10280042560156 16.92798064647 13.2483264980097
"7" 3.5 8.78 1.64 5.96958763706601 12.6524799293119 14.0438711512596
"8" -1.2 8.03 -2.18 6.52704104957446 16.3735162467671 13.5720304664822
"9" 0.9 8.1 1.782 6.133207973123 15.6346453466098 14.1917254332821
"10" 0.2 3.3 2.6 8.43253885539338 15.6223399622771 13.0370574806069
"11" 2.9 9.88 -1.27 6.20438919376433 14.3477286739722 12.5539890279248
"12" 4.2 2.53 2.684 9.71327232611947 12.8761944664155 12.8078296916206
"13" 1.9 7.72 3.41 6.44371295408441 15.1583407406234 13.3039868917543
"14" -4 6.21 -2.73 7.19143983333896 17.1316947236297 12.8761944664155
"15" 3.9 2.49 5.263 9.91203922457733 13.4765553667945 10.7732045558446
"16" 5.4 8.83 4.35 6.12944463521873 11.8748471735989 12.4631490141119
"17" -2.2 4.64 3.24 7.38892124943303 17.2642890057898 11.8855435824632
"18" 5 -0.49 4.73 13.5069364913359 13.4366854243816 12.0690428291576
"19" 3.3 4.9 4.01 8.32348902900668 14.0151073005712 12.7439500451131
"20" 3.6 6.79 4.24 7.36223804028992 14.8273839270158 12.5399278390054
"21" -0.4 4.44 3.47 8.2166868990479 16.8933271218636 12.8891908936146
"22" 2.7 3.92 4.09 7.90898004109114 16.3735162467671 12.5337675536907
"23" 1.1 3.83 3.65 7.90694632330632 16.457837958669 12.7543761855948
"24" 6 1.11 6.16 12.4101399313737 12.2691966115641 11.6459115248029
"25" 0 6.17 -1.23 7.60865602785238 16.6103170116778 12.7990576618609
"49" 8 -1.88 6.75 15.9157801491202 10.0000714276266 11.0262265040445
"50" 8.5 NA NA 9.8673769083574 9.78382725607151 12.5683964095209
"51" 5.2 NA NA 13.7732401166973 13.4188735144038 10.1154812233667
"52" 1 NA NA 12.8831891662942 15.7025571176254 11.5453365013165
"53" 0.4 NA NA 12.618311913477 15.9329513599414 11.2283097841444
"54" 1 NA NA 16.281719139727 15.9501245331376 10.9761912447282
"55" 0.8 NA NA 9.70146858316487 15.7265101046572 12.7412368788818
"56" -0.3 NA NA 12.5503192341639 16.0543076469646 10.676084881331
"57" 1 NA NA 15.3573734774167 16.1438007816496 10.289252338432
"58" 10.2 NA NA 10.309053194702 8.61944177839715 12.6358753384319
"59" 1.6 NA NA 14.0742549144154 15.8343882823201 11.5908259352657
"60" 7.7 NA NA 14.1501021582182 11.0184937853179 11.1520887716399
"61" 9.7 NA NA 12.8304895970012 9.64665510828908 12.3401344306483
"62" 5.5 NA NA 10.4225386108826 10.9145127260494 12.8304895970012
"63" 1.8 0.97 4.7 14.0622362090846 16.0543076469646 12.4270140251747
"64" 1.2 NA NA 15.3167021296696 16.0058497487709 10.8199754586915
"65" 1 NA NA 16.5954406853907 16.385967561782 10.3423342369378
"66" 0.8 NA NA 12.3714614294696 15.5573533262793 12.0083103049927
"67" 1.3 0.41 3.88 12.7867858016365 16.6262584619425 11.5414434080275
"68" -2.1 NA NA 9.13587228602765 16.1812769442543 12.0884548689229
"69" -2.8 NA NA 8.50757091195009 15.9564132863302 11.3002826789996
"70" 4 NA NA 11.5380742281397 13.0837232754469 11.5483041524402
