"RT_IFI27" "RT_CD177" "RT_HLADRA" "array_CD177" "array_IFI27" "array_HLADRA"
"150" -0.7 7.23 0.89 6.29203206664403 16.3919519175447 13.3763993655112
"151" 1.6 NA NA 12.7383533261357 11.0259408815454 12.0584853725132
"152" 0.2 NA NA 13.7463183889757 16.5062463285276 10.505391199738
"153" 0.4 NA NA 12.1013658189501 14.9122039233289 9.07920471130587
"154" 10.7 NA NA 11.1727824143538 16.1231465092497 12.7555473608254
"155" 7.3 NA NA 13.8307856076653 16.5954406853907 10.6337393111856
"156" 9.1 NA NA 12.3323417035464 15.8227454204542 12.9939440821504
"157" 10.5 NA NA 9.43150205021965 16.162667233579 12.2950938667239
"158" 7.3 NA NA 14.5397678985813 8.67219037744973 11.2933710504383
"159" -4.4 4.84 3.65 9.34714515647124 16.8852668704646 12.2002319507671
