beta_pop,1.16146,-0.277432,-0.420304,-0.000963021,0.252693,0.235415,0.314982,0.0401477,nan,-0.0252809,0.0017204
delta_pop,-0.277432,0.44105,0.440866,-0.042678,-0.222013,-0.23016,-0.308102,-0.0478578,nan,0.0243051,-0.00154743
p_pop,-0.420304,0.440866,1.05005,-0.0113896,-0.316015,-0.319509,-0.43074,-0.0477149,nan,0.031914,-0.00209333
c_pop,-0.000963021,-0.042678,-0.0113896,0.112441,0.000623841,0.0429407,0.018068,0.0226056,nan,0.000979251,0.000157153
omega_beta,0.252693,-0.222013,-0.316015,0.000623841,0.640643,0.181301,0.256419,0.0218917,nan,-0.0202862,0.00111137
omega_delta,0.235415,-0.23016,-0.319509,0.0429407,0.181301,0.341955,0.260375,0.0359365,nan,-0.0173755,0.00125837
omega_p,0.314982,-0.308102,-0.43074,0.018068,0.256419,0.260375,0.564893,0.0469804,nan,-0.0298246,0.0017403
omega_c,0.0401477,-0.0478578,-0.0477149,0.0226056,0.0218917,0.0359365,0.0469804,0.0800288,nan,-0.00692588,0.000423227
a1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
b1,-0.0252809,0.0243051,0.031914,0.000979251,-0.0202862,-0.0173755,-0.0298246,-0.00692588,nan,0.076533,-0.00594323
c1,0.0017204,-0.00154743,-0.00209333,0.000157153,0.00111137,0.00125837,0.0017403,0.000423227,nan,-0.00594323,0.000570736
