beta_pop,1,-0.134555,-0.137822,-0.114367,0.0492348,0.124663,0.0117375,-0.0792711,nan,-0.0455682,0.0673798
delta_pop,-0.134555,1,0.407467,0.196299,0.126459,-0.768126,0.041608,0.25248,nan,0.202077,-0.238982
p_pop,-0.137822,0.407467,1,0.218838,0.0418906,-0.351941,-0.0537617,0.207761,nan,0.103922,-0.13623
c_pop,-0.114367,0.196299,0.218838,1,-0.0538415,-0.199372,-0.06982,0.353984,nan,0.106844,-0.0956911
omega_beta,0.0492348,0.126459,0.0418906,-0.0538415,1,-0.125602,0.196764,-0.0231548,nan,0.0175482,-0.0356588
omega_delta,0.124663,-0.768126,-0.351941,-0.199372,-0.125602,1,-0.0465575,-0.232324,nan,-0.208138,0.242767
omega_p,0.0117375,0.041608,-0.0537617,-0.06982,0.196764,-0.0465575,1,-0.0525585,nan,-0.0141352,-0.00932435
omega_c,-0.0792711,0.25248,0.207761,0.353984,-0.0231548,-0.232324,-0.0525585,1,nan,0.0381552,-0.0480078
a1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
b1,-0.0455682,0.202077,0.103922,0.106844,0.0175482,-0.208138,-0.0141352,0.0381552,nan,1,-0.906152
c1,0.0673798,-0.238982,-0.13623,-0.0956911,-0.0356588,0.242767,-0.00932435,-0.0480078,nan,-0.906152,1
