Cytokine,Cohort 1,Cohort 2,P-Value,Sex Counts Cohort 1,Sex Counts Cohort 2,Mean Cohort 1,Mean Cohort 2,P-Value Adjusted,Significant
EGF.N,PICFLU,FLU09,2.7684302202223513e-12,{},"{'Female': 194, 'Male': 114}",0.879700823389713,1.4221974461773674,6.201283693298067e-09,True
EGF.N,PICFLU,,,{},{},0.879700823389713,,,False
EGF.N,Nicaragua,Memphis,1.5027111710562676e-64,{},{},0.20486797059858383,0.9980130302814979,3.366073023166039e-61,True
EGF.N,Nicaragua,Hopkins,8.233984942513842e-88,{},"{'Female': 146, 'Male': 106}",0.20486797059858383,1.4172613234423095,1.8444126271231006e-84,True
EGF.N,Nicaragua,FLU09,2.876181062098448e-119,{},"{'Female': 194, 'Male': 114}",0.20486797059858383,1.4221974461773674,6.442645579100524e-116,True
EGF.N,Nicaragua,,,{},{},0.20486797059858383,,,False
EGF.N,Memphis,Hopkins,3.4441099148944823e-13,{},"{'Female': 146, 'Male': 106}",0.9980130302814979,1.4172613234423095,7.71480620936364e-10,True
EGF.N,Memphis,FLU09,1.1207035300900128e-16,{},"{'Female': 194, 'Male': 114}",0.9980130302814979,1.4221974461773674,2.5103759074016287e-13,True
EGF.N,Memphis,,,{},{},0.9980130302814979,,,False
EGF.N,Hopkins,FLU09,0.9309164526765703,"{'Female': 146, 'Male': 106}","{'Female': 194, 'Male': 114}",1.4172613234423095,1.4221974461773674,1.0,False
EGF.N,Hopkins,,,"{'Female': 146, 'Male': 106}",{},1.4172613234423095,,,False
EGF.N,FLU09,,,"{'Female': 194, 'Male': 114}",{},1.4221974461773674,,,False
EGF.P,Taiwan,SHIVERS,2.3129479561429184e-11,"{'Female': 112, 'Male': 80}",{},1.8168062929868871,1.3765237657701068,5.181003421760137e-08,True
EGF.P,Taiwan,PICFLU,2.100004091618577e-30,"{'Female': 112, 'Male': 80}",{},1.8168062929868871,1.0288796936000213,4.7040091652256124e-27,True
EGF.P,Taiwan,Nicaragua,5.587904153182844e-291,"{'Female': 112, 'Male': 80}",{},1.8168062929868871,4.342945178152238e-11,1.2516905303129571e-287,True
EGF.P,Taiwan,Memphis,1.9929410744229358e-81,"{'Female': 112, 'Male': 80}",{},1.8168062929868871,0.5424749344858871,4.464188006707376e-78,True
EGF.P,Taiwan,Hopkins,0.011507323370304936,"{'Female': 112, 'Male': 80}","{'Female': 146, 'Male': 106}",1.8168062929868871,1.6463254062669788,1.0,False
EGF.P,Taiwan,FLU09,7.191239732876748e-23,"{'Female': 112, 'Male': 80}","{'Female': 194, 'Male': 114}",1.8168062929868871,1.0549709679411021,1.6108377001643917e-19,True
EGF.P,Taiwan,,,"{'Female': 112, 'Male': 80}",{},1.8168062929868871,,,False
EGF.P,SHIVERS,PICFLU,4.70947899227501e-05,{},{},1.3765237657701068,1.0288796936000213,0.10549232942696023,False
EGF.P,SHIVERS,Nicaragua,4.2625223090852514e-237,{},{},1.3765237657701068,4.342945178152238e-11,9.548049972350963e-234,True
EGF.P,SHIVERS,Memphis,3.6755125569648977e-19,{},{},1.3765237657701068,0.5424749344858871,8.233148127601371e-16,True
EGF.P,SHIVERS,Hopkins,0.003518286178103568,{},"{'Female': 146, 'Male': 106}",1.3765237657701068,1.6463254062669788,1.0,False
EGF.P,SHIVERS,FLU09,0.0020205995192857343,{},"{'Female': 194, 'Male': 114}",1.3765237657701068,1.0549709679411021,1.0,False
EGF.P,SHIVERS,,,{},{},1.3765237657701068,,,False
EGF.P,PICFLU,Nicaragua,1.1144029221273966e-111,{},{},1.0288796936000213,4.342945178152238e-11,2.4962625455653685e-108,True
EGF.P,PICFLU,Memphis,1.704968094156716e-15,{},{},1.0288796936000213,0.5424749344858871,3.8191285309110444e-12,True
EGF.P,PICFLU,Hopkins,1.3052335441747048e-16,{},"{'Female': 146, 'Male': 106}",1.0288796936000213,1.6463254062669788,2.923723138951339e-13,True
