id,E0,T0,I10,beta,k,p,c,delta,xi,a,tau,d_E,delta_E,K_delta_E,V_sse,C_sse,sse,PID,AIC
2832,525965.4015,400000000.0,75.0,0.00020565433018672753,4.0,0.13205752501337756,76.42981372773193,0.48515467909384546,0.15042305462666217,0.46270111660487456,1.0354299412149504,7.880196989926564,5.233005059280449,1253.9674490965508,42.87109062975154,0.28522580383192675,43.15631643358347,103.0,-8.671325279564279
6110,525965.4015,400000000.0,75.0,0.00010983707945892048,4.0,0.07080871661390628,6.822533562449047,0.48515467909384546,0.021831935232787435,0.501040710894882,0.8163444750197891,1.967886313569718,98.28636560746531,23491.401680567105,59.34519470659549,0.28564610948431046,59.630840816079804,103.0,-8.659545243629093
8292,525965.4015,400000000.0,75.0,0.00014021005705282437,4.0,0.1042603592078731,62.02777667172728,0.48515467909384546,0.17999403695149055,0.32685588745386024,1.1069715539035818,5.54260644383636,89.62241275259159,44401.179454930956,110.85799250518343,0.28573611393961235,111.14372861912304,103.0,-8.657024914438395
5565,525965.4015,400000000.0,75.0,3.939638103407627e-05,4.0,0.09853463808895266,8.94026985033127,0.48515467909384546,0.10263893631700916,0.4296357522171961,1.3315470239501488,4.484698851733772,83.62183725056198,4129.675403815341,41.064413612419344,0.28614575811867077,41.350559370538015,103.0,-8.64556396715859
8864,525965.4015,400000000.0,75.0,0.00019162906639048698,4.0,0.07173966640073481,51.84806818937448,0.48515467909384546,0.05586457530921329,0.3179302676191495,1.0225627446882182,2.0263231138953843,38.08005963989293,3213.161847122021,73.053130061673,0.2865376324699612,73.33966769414296,103.0,-8.634615525659676
8955,525965.4015,400000000.0,75.0,5.0927250772136206e-05,4.0,0.25244779778674414,7.7324714714923015,0.48515467909384546,0.04063130610699026,0.6727236560489015,0.9645745790077447,5.417672594864245,84.70055825485139,71886.78278400112,57.14358789880356,0.2868717924803257,57.430459691283886,103.0,-8.625291366449105
3524,525965.4015,400000000.0,75.0,0.00013394184936250275,4.0,0.0559138559752386,31.50704840577137,0.48515467909384546,0.41891804119777815,0.20311433974537046,1.445807729107531,7.033870916244497,46.671844540254355,1804.7577564060975,72.44582538733158,0.28706060788996113,72.73288599522154,103.0,-8.620027599041642
4251,525965.4015,400000000.0,75.0,4.9981763542608895e-05,4.0,0.12081697150045298,24.48572884159433,0.48515467909384546,0.037951615902214346,0.4737905230661818,0.8057075925576903,4.083820030838429,36.20749113596802,8531.60168730333,28.088201251440744,0.2873270201134675,28.37552827155421,103.0,-8.61260648536517
3807,525965.4015,400000000.0,75.0,6.443328761522894e-05,4.0,0.191819628766642,77.7302746215591,0.48515467909384546,0.023004926987622062,0.6850978108197504,0.8570048160442629,3.120620356505028,53.83090562787644,39321.387050120284,72.21749133222062,0.28759359579403365,72.50508492801465,103.0,-8.605187702533755
1704,525965.4015,400000000.0,75.0,0.00018547692063190078,4.0,0.10884877951649213,47.507625055024654,0.48515467909384546,0.2686050966345224,0.39629991450119306,1.5700190662455862,6.250011767048486,22.928587505701213,18662.355738846134,27.078156015714427,0.2881085722662398,27.366264587980666,103.0,-8.590875396257847
4902,525965.4015,400000000.0,75.0,0.0001088055857997567,4.0,0.1756781626477259,79.31094482865915,0.48515467909384546,0.06103414531322535,0.7757739941405618,1.4698264959574314,4.257115369735233,74.49980780020478,1280.3452991335153,73.48654077659774,0.28842510605582455,73.77496588265356,103.0,-8.582090929135354
8656,525965.4015,400000000.0,75.0,0.00020025546683960128,4.0,0.02472047078908892,21.198106225684757,0.48515467909384546,0.16353428058371777,0.41239307753650484,1.1538081492608874,9.50220343142032,95.04944293191802,68228.32941887238,73.79437721602692,0.28885233879035604,74.08322955481727,103.0,-8.570249612517916
3140,525965.4015,400000000.0,75.0,0.00013563757121134212,4.0,0.0666960241737398,8.352014239631435,0.48515467909384546,0.2392748636905424,0.5192300422247091,1.8695674013879136,7.3542657869955645,48.73584803930669,39740.327578311844,22.001296085271456,0.28890374197258917,22.290199827244045,103.0,-8.568826086318392
7593,525965.4015,400000000.0,75.0,3.219654417229503e-05,4.0,0.14717384953017446,11.173491224488027,0.48515467909384546,0.8285432377026739,0.121025684598864,1.318851390043773,8.532958570846333,7.6107492447916085,1249.2301936547904,58.8914333522643,0.28948555075672094,59.18091890302102,103.0,-8.55273148739876
1974,525965.4015,400000000.0,75.0,0.00010097419343908022,4.0,0.10477691745820426,32.78262799792377,0.48515467909384546,0.08966978131996972,0.5264652037573915,0.9276886156311122,9.105354734685367,81.413497842485,8827.234961180844,110.5716622174757,0.2898655041992033,110.8615277216749,103.0,-8.54223827106767
9380,525965.4015,400000000.0,75.0,0.00014153926992124406,4.0,0.03646328591812031,7.407416427591926,0.48515467909384546,0.12941495973619946,0.5945568641631012,1.6158262858807533,5.401552098222682,22.08764091996292,8867.419108441893,6.772169464425033,0.290619435533868,7.0627888999589015,103.0,-8.52145752843025
6888,525965.4015,400000000.0,75.0,0.0001821527737252323,4.0,0.11074801872221746,15.243324050696204,0.48515467909384546,0.10422599088505323,0.9697033705492772,1.0534440163523757,9.689604204878494,40.577070866019184,7025.934790013667,83.93723141517455,0.29072868883039504,84.22796010400495,103.0,-8.518450633436096
651,525965.4015,400000000.0,75.0,5.354860633318713e-05,4.0,0.10815930950974383,24.02995600121266,0.48515467909384546,0.08796628436864559,0.9108078033066026,1.440660850496838,6.812214087423003,48.389441857647554,12523.073697281921,47.61535733098087,0.29074359684528245,47.90610092782615,103.0,-8.51804041915052
5133,525965.4015,400000000.0,75.0,4.125626853854679e-05,4.0,0.1038379491935588,11.862271483216276,0.48515467909384546,0.03764092877228604,0.7341211015785784,0.9880786579965757,3.5134389290795904,14.023061918880975,97751.81791938844,10.913642444363484,0.2915524087086758,11.20519485307216,103.0,-8.49581633034797
2949,525965.4015,400000000.0,75.0,3.5633661395730985e-05,4.0,0.1528393850869006,33.99885492325182,0.48515467909384546,0.04740855055915884,0.6456763232164446,1.0175874286978817,5.298902465196257,28.990695684736053,1545.3380679076733,22.345272713076458,0.29202861591517215,22.63730132899163,103.0,-8.482760187886843
66,525965.4015,400000000.0,75.0,7.925632093727146e-05,4.0,0.11343872567053827,20.771644282232174,0.48515467909384546,0.50971998109057,0.05394829917437115,1.3982848832687997,2.963445514249787,44.69444258661679,10662.27394631872,35.8857812853519,0.29206102926132144,36.177842314613216,103.0,-8.481872287299659
