beta_pop,0.825067,-0.0721516,nan,-1.241,-1.59,0.150635,nan,nan,2.02301,1.74084,nan,-0.0128484
k_pop,-0.0721516,0.318185,nan,-0.142903,0.00786128,-0.00654181,nan,nan,-0.0383577,-0.0966779,nan,-0.000807629
delta_pop,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
p_pop,-1.241,-0.142903,nan,2.20925,2.56452,-0.241309,nan,nan,-3.22171,-2.70365,nan,0.0192108
c_pop,-1.59,0.00786128,nan,2.56452,3.23199,-0.303458,nan,nan,-4.09526,-3.44756,nan,0.0270738
omega_beta,0.150635,-0.00654181,nan,-0.241309,-0.303458,0.0389715,nan,nan,0.389796,0.328444,nan,-0.00239636
omega_k,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
omega_delta,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
omega_p,2.02301,-0.0383577,nan,-3.22171,-4.09526,0.389796,nan,nan,5.30486,4.383,nan,-0.0343297
omega_c,1.74084,-0.0966779,nan,-2.70365,-3.44756,0.328444,nan,nan,4.383,3.75237,nan,-0.0287187
a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
b,-0.0128484,-0.000807629,nan,0.0192108,0.0270738,-0.00239636,nan,nan,-0.0343297,-0.0287187,nan,0.00100899
