rep,id,eta_beta,eta_k,eta_delta,eta_delta_E,eta_Kd,eta_p,eta_c,eta_xi,eta_K_Ef,eta_eta,eta_tau_E,eta_d_E,eta_EB
3,112,0.0112047,-0.298542,-2.52011,-0.356435,2.47109,0.0974498,0.136735,-0.20177,0.0657698,0.516738,-0.0202343,-0.0931015,0
4,112,-0.0768338,-0.398607,0.397453,-1.48785,-1.64627,-0.328786,0.326483,1.95997,0.315671,-1.34312,-0.283934,-0.816997,0
5,112,-0.0937325,0.660601,5.92831,0.436564,1.26786,-0.0100821,0.235392,0.359707,-0.314637,-0.846462,-0.72718,-1.44319,0
6,112,-0.0155989,0.60976,5.13144,1.45574,0.450273,-0.0161026,0.0195833,-0.111202,-0.929099,-0.234995,-0.972844,0.32663,0
7,112,-0.197185,0.874536,4.51541,-0.0821428,0.199036,-1.22317,-0.100015,-0.120239,1.23381,-1.36351,0.598839,2.36356,0
8,112,0.03345,-0.282398,-2.53754,-0.115694,1.85117,0.0157406,0.083967,-0.355284,0.220612,1.0205,-0.0202343,-0.166333,0
9,112,-0.0943694,-0.519037,0.33703,-0.883122,-1.06997,-0.399235,0.257321,1.93094,0.344157,-1.58718,-0.126056,-1.00912,0
10,112,-0.0199699,0.658013,6.09574,0.458307,1.344,0.155553,0.143692,0.496809,-0.820253,-0.683517,-0.712661,-0.917102,0
1,207,0.218716,1.28874,0.897243,0.37205,0.270304,0.117692,0.12391,0.96686,0.242332,-0.410187,0.69432,0.313839,0
2,207,0.1277,-0.554613,6.35071,1.14361,-1.07252,0.188289,0.112235,1.48555,-0.122224,-1.2397,-0.234971,0.444871,0
3,207,-0.00860562,0.59252,-1.77347,0.531704,0.996214,0.201347,0.16572,-1.19798,1.63053,0.214345,-1.62749,0.532127,0
4,207,0.00690253,0.0149554,1.73438,-0.863598,1.00514,0.0595194,0.237198,1.87536,1.16664,-0.911809,-0.571582,-0.188846,0
5,207,0.189511,0.881094,1.52778,0.397491,1.36391,0.17838,-0.0412691,-0.652789,-0.977428,-0.837482,-0.567293,-1.51272,0
6,207,0.264804,1.18346,-1.93456,0.30843,0.0513288,0.264188,0.184967,0.868869,0.227089,0.575143,0.69432,0.323925,0
7,207,0.1277,-0.554613,5.48016,1.20388,-1.18266,0.216499,0.152491,1.42424,0.476582,-1.78683,-0.234971,0.314274,0
8,207,-0.0864304,0.695511,-3.93505,0.49692,0.537863,-0.10068,0.183322,-1.51896,1.48362,0.441637,-1.62749,0.420796,0
9,207,0.0171302,0.178837,-7.19049,-0.739276,0.506807,0.217867,0.19898,2.29153,1.90984,0.305276,-0.547839,-0.524937,0
10,207,0.163718,0.705282,3.56369,-0.165138,0.195579,0.195214,-0.0634254,-0.986339,-1.04946,-0.568654,-0.714224,-2.22788,0
1,301,0.399848,-0.264731,1.02731,-0.239163,-1.43077,0.454981,0.114112,-0.23446,1.41348,1.36717,0.00946907,0.326372,0
2,301,0.0460423,-0.0665091,-0.0869529,0.0623074,0.10679,1.04431,-0.250522,-0.804587,0.63853,0.741095,-0.00785981,-1.38708,0
3,301,0.0702232,0.511672,-1.70545,-1.74754,0.458542,0.707916,0.162007,0.673422,0.293728,0.0843087,0.297938,-1.57508,0
4,301,0.0645166,-0.130268,-2.45276,-0.353378,-0.186648,0.538649,-0.112876,0.840501,0.436392,0.474317,-0.0671679,0.869879,0
5,301,-0.0340475,-0.0960584,-4.50984,-0.899482,-1.18945,1.74705,-0.00565574,0.0123203,-0.0968033,-0.502308,-0.222461,-0.201737,0
6,301,-0.155414,0.933192,-5.83903,-1.15521,-1.05848,0.377671,0.217297,0.367176,-0.780082,-0.324343,-0.636767,-0.992998,0
7,301,-0.130034,-0.0384269,0.146009,0.911402,-1.97028,0.430604,0.163229,-0.524327,1.2567,0.793592,-0.864677,0.9636,0
8,301,0.0674199,0.246403,-1.81993,0.593369,0.471205,0.745216,0.106622,0.709754,1.10084,0.454782,0.0465049,0.21425,0
9,301,0.12317,-0.234628,-5.08503,-1.19418,-0.198169,0.813461,-0.0949444,-0.171456,-0.163151,1.26224,0.444806,-0.457905,0
10,301,0.000121897,0.700447,2.1459,-0.999219,1.11831,0.325311,0.03505,0.681807,0.429128,-0.517834,-0.0267278,-0.602863,0
1,302,0.0203456,0.236383,-5.86595,0.747813,1.36678,0.298068,0.143192,-0.626087,0.68824,0.106757,-0.443879,-0.513544,0
2,302,0.0421902,0.48251,-2.78005,0.256416,-1.44526,0.764319,0.172078,0.0886393,0.099566,-1.36995,-0.332226,-1.60656,0
3,302,0.183327,0.500042,3.64536,1.43421,0.116712,0.164694,0.020064,-0.102647,-0.991314,-0.999525,-1.03516,-0.532378,0
4,302,0.163525,0.194749,-0.771634,-1.36404,0.331267,1.33575,-0.394529,0.99427,-0.618876,1.52292,0.480875,0.344966,0
5,302,0.0143035,0.309906,-3.57919,0.352565,-1.33246,0.739656,-0.0394858,-0.00209903,1.87869,-0.870948,-0.0590917,-0.602801,0
6,302,-0.0186823,-0.107486,-2.30712,0.227449,-0.357145,0.405557,0.167899,0.122236,0.270685,-0.189994,-1.30018,1.41915,0
7,302,-0.112128,0.560556,-0.12556,0.338463,-0.903429,0.328469,-0.119487,0.567449,1.24676,0.385003,-1.85938,0.828163,0
8,302,0.0632855,-0.549465,-1.99818,-0.339104,1.18653,0.610339,-0.385695,2.23078,-0.930942,0.955676,0.472315,-1.24182,0
9,302,-0.215621,-0.148899,-7.40072,0.513829,0.696604,0.604553,0.125667,-0.79926,0.403664,0.0439648,-0.11672,-1.44548,0
10,302,-0.0758644,-0.197061,1.26343,1.2762,-0.776857,1.4124,-0.0196401,-0.42723,-1.09392,-0.836507,-0.0948739,-0.974144,0
1,307,0.0135671,-0.0443491,-3.61749,1.29633,2.20315,0.578538,-0.0210969,1.60414,-0.846293,0.313032,0.990822,-0.290036,0
2,307,0.0631499,0.026275,0.442956,-0.855676,0.119233,0.68834,0.142613,0.189787,0.389348,0.379099,0.268492,-0.407744,0
3,307,-0.288434,0.163622,-2.80093,0.424805,0.822986,1.05072,0.00324313,-0.241037,-0.175108,-0.320117,-0.931507,-0.838358,0
4,307,-0.183086,0.671822,0.20558,-0.401812,-0.974311,0.100276,0.164541,-0.389754,-0.292846,-0.811307,1.50957,0.151885,0
5,307,0.319745,-0.692774,-4.75819,-2.17248,1.07523,0.942925,0.0177181,-0.66836,-1.79467,1.0505,-0.00996078,-0.296683,0
6,307,-0.0314969,0.594857,3.15197,0.503934,0.0661746,-0.13592,0.00325721,-1.33674,-1.092,-0.447023,-2.42284,-1.8048,0
7,307,-0.112416,-0.332561,-5.14375,-0.671742,0.274345,0.833562,-0.0279161,-0.712816,-1.1331,-1.48344,-0.650371,1.70715,0
8,307,0.115995,0.393023,0.245691,-0.0597256,1.21653,-0.41393,-0.0678762,0.0911216,-2.63851,-0.581021,-1.38183,-1.30716,0
9,307,-0.0233624,0.992581,3.12265,-1.66704,-0.032837,0.257742,-0.0144758,-0.064162,0.583155,0.518415,-0.175912,0.841547,0
10,307,-0.0549298,0.257371,2.69657,-0.959041,-0.780962,0.823104,0.0306612,-2.3374,1.98364,-0.347477,0.226588,0.462268,0
