rep,id,beta,k,delta,delta_E,Kd,p,c,xi,K_Ef,eta,tau_E,d_E,EB
5,112,0.00340022,0.923136,2.5025e-05,61.8952,1542.11,0.273252,783.099,938.556,591343,3.21697e-09,0.96654,0.236173,1
6,112,0.00367655,0.877376,1.12796e-05,171.506,680.833,0.271611,631.091,586.067,319876,5.92931e-09,0.756013,1.38629,1
7,112,0.00306604,1.14334,6.09193e-06,36.8456,529.578,0.0812321,559.952,580.794,2.78178e+06,1.91821e-09,3.64001,10.6287,1
8,112,0.00386137,0.359522,5.26864e-09,35.6299,2763.41,0.2804,673.059,459.138,1.00994e+06,2.08093e-08,1.95994,0.846765,1
9,112,0.00339806,0.283763,9.33489e-08,16.5396,148.871,0.185164,800.461,4516.87,1.14275e+06,1.53376e-09,1.76313,0.364538,1
10,112,0.00366051,0.92075,2.95861e-05,63.2558,1664.1,0.322476,714.483,1076.47,356659,3.78629e-09,0.980675,0.399676,1
1,207,0.00464731,1.73007,1.63458e-07,58.0282,568.698,0.310495,700.488,1722.44,1.03212e+06,4.97645e-09,4.00469,1.36867,1
2,207,0.00424301,0.273845,3.81784e-05,125.522,148.491,0.333207,692.357,2893.4,716810,2.17103e-09,1.58119,1.56029,1
3,207,0.00370235,0.862379,1.13118e-08,68.0732,1175.28,0.337587,730.396,197.681,4.13634e+06,9.29288e-09,0.392845,1.70255,1
4,207,0.00376021,0.484022,3.77546e-07,16.8657,1185.81,0.292948,784.514,4272.69,2.60107e+06,3.01348e-09,1.12926,0.827914,1
5,207,0.00451355,1.15086,3.07076e-07,59.5235,1697.56,0.329922,593.833,340.987,304785,3.24599e-09,1.13412,0.22031,1
6,207,0.00486651,1.55719,9.62874e-09,54.4515,456.858,0.359482,744.59,1561.66,1.0165e+06,1.33304e-08,4.00469,1.38254,1
7,207,0.00424301,0.273845,1.59862e-05,133.32,133.004,0.342741,720.797,2721.31,1.30455e+06,1.25618e-09,1.58119,1.36926,1
8,207,0.00342514,0.955932,1.30248e-09,65.746,743.157,0.249584,743.366,143.405,3.57118e+06,1.16644e-08,0.392845,1.52317,1
9,207,0.00379887,0.570214,5.02282e-11,19.0984,720.432,0.34321,755.097,6477.98,5.46915e+06,1.01775e-08,1.1564,0.591593,1
10,207,0.00439862,0.965317,2.35196e-06,33.9111,527.75,0.335522,580.82,244.275,283602,4.24715e-09,0.979143,0.107756,1
1,301,0.00557014,0.365931,1.86164e-07,31.4915,103.78,0.435048,693.658,518.104,3.32929e+06,2.94316e-08,2.01903,1.38593,1
2,301,0.0039103,0.446155,6.10908e-08,42.5716,482.912,0.784297,481.711,292.963,1.53389e+06,1.57367e-08,1.98434,0.249804,1
3,301,0.00400601,0.795401,1.21079e-08,6.9681,686.487,0.560255,727.689,1284.41,1.08655e+06,8.15974e-09,2.69416,0.206992,1
4,301,0.00398322,0.418596,5.73478e-09,28.0925,360.105,0.473014,552.797,1517.98,1.25316e+06,1.20519e-08,1.87008,2.38662,1
5,301,0.00360934,0.433164,7.3306e-10,16.2712,132.105,1.5837,615.362,663.12,735265,4.53849e-09,1.60109,0.81731,1
6,301,0.00319683,1.21241,1.94035e-10,12.5997,150.59,0.402682,769.056,945.592,371278,5.42252e-09,1.058,0.370464,1
7,301,0.003279,0.458861,7.7117e-08,99.5123,60.5075,0.424571,728.579,387.73,2.84617e+06,1.65849e-08,0.842375,2.62112,1
8,301,0.0039948,0.610072,1.07983e-08,72.403,695.235,0.581547,688.482,1331.94,2.43543e+06,1.18187e-08,2.09521,1.23893,1
9,301,0.00422383,0.377114,4.12419e-10,12.1181,355.98,0.62262,562.799,551.796,688065,2.65e-08,3.12037,0.632607,1
10,301,0.0037348,0.960661,5.6976e-07,14.7267,1327.91,0.38214,640.928,1295.23,1.24409e+06,4.46857e-09,1.94725,0.547243,1
1,302,0.0038111,0.60399,1.88881e-10,84.495,1702.46,0.371869,714.125,350.215,1.61207e+06,8.34498e-09,1.28309,0.598371,1
2,302,0.00389527,0.772541,4.1341e-09,51.6916,102.287,0.592762,735.055,715.71,894800,1.90589e-09,1.43465,0.200576,1
3,302,0.00448572,0.786205,2.55212e-06,167.853,487.727,0.325437,631.394,591.102,300582,2.76041e-09,0.710336,0.587207,1
4,302,0.00439777,0.57936,3.08051e-08,10.2251,604.446,1.04967,417.105,1770.3,436225,3.43921e-08,3.23498,1.41194,1
5,302,0.00378814,0.650071,1.85917e-09,56.9085,114.501,0.578322,594.893,653.627,5.30137e+06,3.13916e-09,1.88524,0.547277,1
6,302,0.00366523,0.428242,6.63393e-09,50.2157,303.657,0.414069,731.989,740.163,1.0618e+06,6.20223e-09,0.544966,4.13359,1
7,302,0.00333825,0.83525,5.87773e-08,56.1116,175.847,0.383348,549.154,1155.26,2.81802e+06,1.10221e-08,0.311537,2.28911,1
8,302,0.00397832,0.275258,9.0353e-09,28.4963,1421.65,0.508169,420.806,6096.18,319288,1.95032e-08,3.2074,0.288859,1
9,302,0.00301004,0.410869,4.0705e-11,66.8672,871.006,0.505237,701.72,294.528,1.21281e+06,7.83709e-09,1.77967,0.235632,1
10,302,0.00346152,0.39155,2.35745e-07,143.319,199.575,1.13328,606.817,427.265,271269,3.24916e-09,1.81898,0.377515,1
1,307,0.00378536,0.456152,1.78929e-09,146.234,3929.22,0.492263,605.933,3257.68,347492,1.02567e-08,5.3869,0.748237,1
2,307,0.00397778,0.489532,1.0378e-07,16.9998,488.959,0.549394,713.712,791.89,1.19557e+06,1.09573e-08,2.61598,0.665149,1
3,307,0.00279866,0.561604,4.04867e-09,61.1717,988.343,0.789337,620.863,514.707,679887,5.44548e-09,0.787919,0.43242,1
4,307,0.00310958,0.933552,8.18505e-08,26.7643,163.814,0.305134,729.535,443.581,604371,3.33208e-09,9.04953,1.16403,1
5,307,0.00514136,0.238507,5.71854e-10,4.55581,1271.92,0.708677,629.915,335.719,134608,2.14432e-08,1.98018,0.74328,1
6,307,0.00361856,0.864397,1.55819e-06,66.2088,463.691,0.240942,620.871,172.069,271790,4.79647e-09,0.177339,0.164508,1
7,307,0.00333728,0.341933,3.88898e-10,20.4327,571,0.635262,601.815,321.121,260847,1.70142e-09,1.0437,5.51323,1
8,307,0.00419364,0.706411,8.52003e-08,37.6809,1464.95,0.182463,578.241,717.488,57888.6,4.19495e-09,0.502239,0.270587,1
9,307,0.00364811,1.2866,1.51317e-06,7.55221,419.98,0.357172,609.958,614.294,1.45126e+06,1.25952e-08,1.67738,2.31995,1
10,307,0.00353475,0.616801,9.88195e-07,15.3304,198.757,0.628653,638.121,63.259,5.888e+06,5.29851e-09,2.50863,1.58767,1
1,308,0.00497036,0.293252,1.86021e-08,18.1558,655.115,0.35411,616.838,406.92,1.23882e+06,6.9254e-09,0.274169,0.72946,1
2,308,0.00391544,0.357276,9.57156e-10,11.2946,1361.66,0.288836,677.757,1134.86,2.38742e+06,7.72913e-09,1.01937,0.414558,1
3,308,0.0035658,1.44486,3.37878e-08,31.1766,2368.49,0.173095,519.477,1547.53,577872,1.16245e-08,1.82081,6.87854,1
4,308,0.00356304,0.562287,2.67581e-08,99.5758,1369.1,0.381263,398.054,80.6807,2.97866e+06,1.31985e-09,4.03835,0.309594,1
5,308,0.00369133,1.8204,3.85752e-09,30.2111,67.4566,0.171112,771.327,387,580852,2.73859e-09,0.514163,4.06317,1
6,308,0.00278918,0.465596,8.07491e-08,9.43405,248.258,0.407911,647.278,295.008,2.05447e+06,1.73853e-08,1.9832,1.09038,1
7,308,0.0037839,0.425004,3.01537e-07,66.8667,78.025,0.264685,587.763,374.575,2.03645e+06,2.51972e-08,3.74045,0.829654,1
8,308,0.00485211,0.430572,6.03735e-08,3.15934,201.972,0.148505,555.592,796.55,1.42945e+06,2.29955e-09,1.09739,1.04881,1
9,308,0.004027,0.339827,1.14237e-06,40.1917,1502.07,0.353372,663.879,908.836,1.3561e+06,8.94997e-09,1.50245,0.68637,1
10,308,0.00494861,1.44374,3.46102e-08,11.9101,409.191,0.0976814,719.164,1196.2,3.29539e+06,1.33127e-08,0.777364,6.28919,1
1,311,0.00349373,0.577553,6.19148e-08,547.235,115.817,0.292956,851.636,1170.99,1.24975e+06,4.49477e-10,1.50627,1.60253,1
2,311,0.00434287,1.09953,8.14423e-09,41.7606,1922.39,0.185838,563.606,500.677,1.87277e+06,5.14956e-08,1.71359,0.258539,1
3,311,0.00419826,0.646879,3.37865e-08,45.1144,633.117,0.16015,707.042,2390.67,249311,1.95119e-08,1.01615,0.330102,1
4,311,0.00427223,1.35514,1.59195e-09,89.0518,327.708,0.428915,708.936,708.851,2.19896e+06,2.92183e-08,1.33761,1.22933,1
5,311,0.00444846,0.608094,6.07102e-07,63.6748,155.595,0.147087,491.156,262.133,139652,1.89654e-08,0.257208,0.202273,1
6,311,0.00434888,1.40989,1.38504e-08,56.0794,198.041,0.156473,713.709,3670.66,202161,6.36602e-09,3.34298,0.316592,1
7,311,0.00302161,0.388352,6.55739e-08,202.787,643.784,0.37839,659.569,1451.08,191893,3.00095e-08,1.20608,0.663373,1
8,311,0.00395251,0.554718,0.000355708,129.938,230.133,0.189014,716.203,839.338,767378,2.76277e-08,1.01839,1.21434,1
9,311,0.00357101,0.335762,2.27923e-09,37.9601,635.588,0.284901,527.25,7742.84,4.27243e+06,2.0409e-08,0.466137,0.355928,1
10,311,0.00357392,0.650802,6.05117e-07,92.9725,482.372,0.216094,654.987,201.409,1.0629e+06,7.03368e-09,11.3999,4.26933,1
1,312,0.00333048,0.172146,2.05057e-07,35.5979,143.475,0.164922,556.979,308.367,5.11768e+06,5.37918e-08,1.18403,1.89472,1
2,312,0.00339448,0.0886309,2.12726e-06,2.3559,564.375,0.290541,627.668,97.7237,1.51814e+06,4.93088e-10,0.284194,0.58179,1
3,312,0.00410949,0.293296,2.04407e-08,9.6922,271.436,0.100968,699.865,149.883,610612,1.94405e-09,2.59419,1.9583,1
4,312,0.00281017,0.396627,1.0887e-09,34.355,357.885,0.0935943,669.616,602.908,2.68849e+06,1.61156e-09,0.548568,0.512241,1
5,312,0.00388488,0.210678,5.95622e-07,72.9399,345.672,0.116165,630.253,455.539,1.54117e+06,2.1203e-09,0.761012,2.20846,1
6,312,0.00320529,0.127674,4.30412e-07,40.7209,1071.09,0.229588,675.955,281.028,1.23458e+06,1.91608e-09,0.791051,3.64035,1
7,312,0.0041281,0.165202,2.61813e-08,34.1033,581.628,0.0990687,479.681,333.494,5.92839e+06,1.07642e-08,0.887875,1.665,1
8,312,0.00444086,0.863532,1.11074e-10,41.6418,211.26,0.177306,972.673,5615.62,494222,3.35905e-09,2.33191,1.0284,1
9,312,0.00370985,0.331534,3.87698e-06,62.5636,633.477,0.0886457,621.765,56.0362,1.06347e+06,1.80103e-08,0.496673,1.49758,1
10,312,0.0034211,0.193517,2.05936e-09,28.1112,239.149,0.161976,680.943,1571.29,915951,7.8934e-09,0.441569,0.470919,1
