param_x,param_y,103,107,110,111,112,204,207,302,307,308,311,312,Cohort,Average
c,tau_memory,0.23,-0.35,-0.26,-0.10,0.08,-0.05,0.04,-0.06,-0.04,-0.03,-0.57,0.43,-0.18,0.18
delta,xi,0.03,0.77,0.45,0.17,-0.11,0.21,0.25,-0.56,-0.29,0.61,0.28,0.12,-0.79,-0.69
delta,a,-0.01,-0.69,-0.43,-0.26,0.14,-0.20,0.49,0.11,0.21,-0.65,-0.27,-0.22,0.58,0.20
delta,d_E,0.20,0.80,0.41,0.27,0.51,0.28,0.37,-0.14,-0.15,0.69,0.43,0.23,-0.53,-0.32
delta,delta_E,-0.34,-0.87,-0.93,0.15,-0.58,-0.02,-0.88,-0.33,-0.11,-0.87,-0.53,-0.37,-0.81,-0.02
delta,K_delta_E,0.17,-0.09,0.33,-0.25,0.02,0.09,-0.45,0.16,0.17,0.67,0.45,0.16,0.31,0.23
delta,zeta,-0.14,0.45,-0.16,0.28,0.27,0.14,0.23,0.13,0.32,-0.11,0.02,0.12,-0.45,0.43
delta,tau_memory,0.06,0.57,0.47,0.08,0.22,0.00,0.32,-0.09,0.17,-0.03,0.33,0.16,-0.32,0.41
xi,a,-0.62,-0.85,-0.53,-0.96,-0.37,-0.93,0.04,-0.15,-0.72,-0.73,-0.38,-0.64,-0.74,-0.43
xi,d_E,0.87,0.96,0.82,0.98,0.25,0.94,0.46,0.40,0.78,0.89,0.66,0.72,0.84,0.43
xi,delta_E,-0.85,-0.88,-0.66,-0.74,-0.03,0.20,-0.30,0.07,-0.29,-0.86,-0.62,-0.42,0.54,-0.54
xi,K_delta_E,-0.51,-0.10,0.47,-0.66,-0.52,0.08,-0.17,-0.19,-0.01,0.47,0.22,0.06,-0.27,-0.05
xi,zeta,0.21,0.40,-0.22,0.02,-0.54,0.14,-0.30,-0.34,-0.18,-0.21,0.04,-0.23,0.52,-0.87
xi,tau_memory,0.75,0.58,0.40,-0.03,-0.46,0.02,0.18,0.01,-0.04,-0.03,0.60,-0.05,0.01,-0.41
a,d_E,-0.57,-0.78,-0.50,-0.96,0.25,-0.86,0.33,-0.27,-0.61,-0.77,-0.39,-0.46,-0.78,-0.41
a,delta_E,0.57,0.68,0.50,0.64,-0.48,-0.16,-0.67,-0.26,-0.24,0.69,0.35,0.24,-0.45,0.28
a,K_delta_E,0.49,0.06,-0.36,0.68,0.33,-0.08,-0.18,0.20,0.08,-0.39,-0.17,-0.18,0.26,-0.12
a,zeta,-0.18,-0.44,0.13,-0.09,0.36,-0.15,0.09,-0.06,-0.04,0.09,0.03,0.11,-0.48,0.21
a,tau_memory,-0.46,-0.52,-0.38,0.02,0.56,-0.04,0.15,-0.05,0.01,0.10,-0.38,-0.05,0.02,0.20
d_E,delta_E,-0.62,-0.83,-0.52,-0.64,-0.54,0.20,-0.38,0.44,0.00,-0.77,-0.55,-0.32,0.40,0.01
d_E,K_delta_E,-0.37,-0.15,0.28,-0.66,-0.08,0.08,0.10,-0.26,0.15,0.43,0.30,0.08,-0.42,0.03
d_E,zeta,0.25,0.44,-0.05,0.06,0.14,0.15,-0.08,0.09,-0.02,-0.26,0.11,-0.05,0.46,-0.37
d_E,tau_memory,0.72,0.58,0.30,-0.02,0.14,0.01,0.00,0.12,0.03,-0.04,0.56,0.04,-0.08,-0.09
delta_E,K_delta_E,0.45,0.00,-0.48,0.45,-0.12,0.10,0.35,-0.26,-0.10,-0.65,-0.09,-0.06,-0.16,-0.19
delta_E,zeta,-0.04,-0.33,0.20,0.13,-0.22,0.06,-0.17,0.30,0.25,0.12,-0.07,-0.01,0.37,0.63
delta_E,tau_memory,-0.59,-0.58,-0.52,0.04,-0.41,0.01,-0.28,0.13,0.03,0.03,-0.63,-0.12,0.46,0.36
K_delta_E,zeta,-0.15,-0.18,-0.11,-0.04,0.48,0.03,0.06,0.01,-0.04,0.09,-0.05,0.00,-0.07,0.00
K_delta_E,tau_memory,-0.52,-0.05,0.31,0.06,0.69,0.01,-0.35,-0.24,0.01,-0.03,0.15,0.14,0.02,0.26
zeta,tau_memory,0.25,0.46,-0.19,0.24,0.57,0.34,0.14,0.07,0.16,-0.07,0.29,0.43,0.15,0.39
