delta_E_pop,40045.9,-146008,nan,56852.7,nan,0.0646548,nan,-0.00562257,-3841.94,0.0512893
Kd_pop,-146008,1.44466e+06,nan,-499001,nan,-0.54816,nan,0.0487891,32573,-0.434844
xi_pop,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
d_E_pop,56852.7,-499001,nan,267017,nan,0.219876,nan,-0.0247167,-13065.8,0.174425
a_pop,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
tau_pop,0.0646548,-0.54816,nan,0.219876,nan,0.0302309,nan,1.43627e-06,-1796.3,0.023981
a1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
b1,-0.00562257,0.0487891,nan,-0.0247167,nan,1.43627e-06,nan,20.0434,-0.085342,1.13934e-06
a2,-3841.94,32573,nan,-13065.8,nan,-1796.3,nan,-0.085342,3.94826e+08,-2074.35
b2,0.0512893,-0.434844,nan,0.174425,nan,0.023981,nan,1.13934e-06,-2074.35,0.0259771
